Harry Potter e o Enigma;J.K Rowling;513;EMPRESTADO
Noites brancas;Dostoiesvki;120;EMPRESTADO
Percy Jackson;Rick Riordan;300;EMPRESTADO
Os irmaos karamazov;Dostoiesvki;231;DISPONIVEL
O Hobbit;J.R.R. Tolkien;336;EMPRESTADO
O Senhor dos Aneis: A Sociedade do Anel;J.R.R. Tolkien;576;DISPONIVEL
1984;George Orwell;328;DISPONIVEL
A Revolucao dos Bichos;George Orwell;152;DISPONIVEL
Crime e Castigo;Dostoiesvki;592;EMPRESTADO
O Idiota;Dostoiesvki;656;EMPRESTADO
Anna Karenina;Leon Tolstoi;864;EMPRESTADO
Guerra e Paz;Leon Tolstoi;1225;EMPRESTADO
